date,compound,positive,neutral,negative
2022-01-14,-0.128,0.0,0.88,0.12
2022-01-17,0.0,0.0,1.0,0.0
2022-01-18,0.0,0.0,1.0,0.0
2022-01-19,0.0,0.0,1.0,0.0
2022-01-21,-0.3612,0.0,0.72,0.28
2022-01-24,0.2732,0.174,0.826,0.0
2022-01-25,-0.5267,0.0,0.764,0.236
2022-01-27,-0.6486,0.0,0.65,0.35
2022-01-28,-0.128,0.0,0.824,0.176
2022-02-01,0.4404,0.225,0.775,0.0
2022-02-02,0.0258,0.278,0.526,0.19499999999999998
2022-02-03,0.6597,0.375,0.625,0.0
2022-02-04,0.3182,0.315,0.685,0.0
2022-02-05,0.1531,0.196,0.652,0.152
2022-02-14,-0.3612,0.165,0.472,0.362
2022-02-15,0.0,0.183,0.635,0.183
2022-02-18,-0.3182,0.0,0.813,0.187
2022-02-20,0.0,0.0,1.0,0.0
2022-02-21,-0.4404,0.0,0.719,0.281
2022-02-22,0.2732,0.20800000000000002,0.792,0.0
2022-02-23,0.0,0.0,1.0,0.0
2022-02-24,-0.7717,0.0,0.573,0.427
2022-02-25,0.2732,0.174,0.826,0.0
2022-02-26,0.2732,0.231,0.769,0.0
2022-02-27,0.0,0.0,1.0,0.0
2022-02-28,-0.4767,0.0,0.795,0.205
2022-03-01,0.1511,0.207,0.641,0.153
2022-03-02,-0.5994,0.0,0.719,0.281
2022-03-03,-0.5574,0.0,0.735,0.265
2022-03-04,0.5423,0.304,0.696,0.0
2022-03-05,0.0,0.0,1.0,0.0
2022-03-06,0.0,0.0,1.0,0.0
2022-03-07,-0.8176,0.0,0.595,0.405
2022-03-08,-0.4588,0.0,0.7,0.3
2022-03-09,-0.34,0.0,0.745,0.255
